session_idx,pupil_x,pupil_y,scene_target_x,scene_target_y
0,302.000,213.000,717.041,400.778
0,343.500,208.000,1195.248,268.405
0,366.000,263.000,826.483,561.140
0,375.500,193.000,1238.029,515.197
0,311.500,186.500,634.527,745.520
0,298.000,173.500,885.337,739.739
1,271.000,228.000,506.503,576.684
1,292.000,228.000,728.728,555.592
1,313.000,228.000,945.255,524.471
1,332.500,229.000,1147.557,511.987
1,269.000,242.000,510.494,745.969
1,291.000,240.000,744.400,714.590
1,313.000,238.000,962.759,667.329
1,332.000,239.000,1167.792,658.165
2,248.000,221.000,315.726,484.325
2,276.000,218.000,631.133,448.060
2,301.000,216.500,935.334,387.802
2,326.000,218.000,1222.240,342.048
2,248.000,232.000,344.361,682.748
2,275.000,230.500,645.681,651.377
2,300.000,229.000,938.430,569.336
2,323.000,230.000,1206.948,538.649
2,248.000,245.000,358.833,867.870
2,272.000,243.000,643.205,844.462
2,293.500,242.000,911.942,818.966
2,317.000,245.000,1178.633,794.894
3,291.000,225.000,690.944,348.369
3,306.000,225.000,860.252,341.126
3,323.500,225.000,1030.289,311.298
3,342.000,226.000,1228.196,294.184
3,291.000,231.000,720.707,444.440
3,309.000,234.000,901.521,464.573
3,322.000,235.000,1020.072,480.851
3,336.000,236.000,1173.092,471.762
3,287.000,248.000,696.827,693.843
3,294.000,257.000,778.193,828.542
3,315.000,256.000,1000.550,815.349
3,333.000,257.000,1194.419,783.314
4,281.000,230.000,661.031,619.383
4,297.000,228.000,828.972,592.126
4,314.000,227.000,1005.962,555.113
4,330.000,228.000,1183.596,530.944
4,282.000,233.000,693.743,697.547
4,299.000,234.000,872.347,680.491
4,314.000,235.000,1030.603,665.103
4,331.000,236.000,1216.401,646.815
4,276.000,243.000,638.178,845.399
4,294.000,243.000,833.715,828.577
4,311.000,245.000,1018.897,822.464
4,326.000,237.000,1174.577,669.087
5,295.000,233.500,770.134,429.829
5,313.000,232.000,951.804,380.065
5,331.000,233.000,1145.663,364.423
5,351.000,235.000,1356.645,359.951
5,294.000,240.000,766.715,530.124
5,314.000,242.000,973.282,536.102
5,333.000,243.000,1166.001,523.011
5,350.000,245.000,1377.394,514.304
5,293.000,251.000,775.310,693.312
5,312.000,252.000,971.194,688.280
5,332.000,255.000,1172.066,685.346
5,350.000,258.000,1380.526,688.423
6,283.000,229.000,688.701,414.780
6,299.000,229.000,867.667,403.717
